brand,product_name,product_full,standard_ingredients,num_ingredients
스킨1004,마다가스카르 센텔라 프로바이오시카 인리치 크림,스킨1004 마다가스카르 센텔라 프로바이오시카 인리치 크림,,0
유세린,하이알루론 3X 컨센트레이트 *,유세린 하이알루론 3X 컨센트레이트 *,,0
수페,버치 리치 오리진 앰플,수페 버치 리치 오리진 앰플,,0
닥터디퍼런트,씨이큐 안티옥시던트 세럼,닥터디퍼런트 씨이큐 안티옥시던트 세럼,,0
빌리프,슈퍼드랍스 펩타이드 퍼밍 세럼 /단품,빌리프 슈퍼드랍스 펩타이드 퍼밍 세럼 /단품,,0
믹순,콩 에센스,믹순 콩 에센스,락토바실러스,1
아누아,피디알엔 히알루론산 캡슐 세럼,아누아 피디알엔 히알루론산 캡슐 세럼,,0
한율,빨간쌀 에센스 150ml기획,한율 빨간쌀 에센스 150ml기획,,0
메디필,히알루론산 레이어 물톡스 앰플,메디필 히알루론산 레이어 물톡스 앰플,,0
파티온,노스카나인 트러블 앰플,파티온 노스카나인 트러블 앰플,,0
스킨1004,마다가스카르 센텔라 프로바이오시카 인텐시브 앰플,스킨1004 마다가스카르 센텔라 프로바이오시카 인텐시브 앰플,,0
아이소이,인텐시브 에너자이징 크림EX,아이소이 인텐시브 에너자이징 크림EX,,0
리얼베리어,익스트림 크림 앰플,리얼베리어 익스트림 크림 앰플,,0
한율,달빛유자C 세럼,한율 달빛유자C 세럼,,0
클리어디어,뮤신 콜라겐 볼류밍 크림 앰플,클리어디어 뮤신 콜라겐 볼류밍 크림 앰플,,0
에스트라,아토베리어365 세라-히알 속수분 앰플,에스트라 아토베리어365 세라-히알 속수분 앰플,,0
에스트라,아토베리어365 하이드로 에센스,에스트라 아토베리어365 하이드로 에센스,,0
주미소,디판테놀 베리어 장벽세럼,주미소 디판테놀 베리어 장벽세럼,,0
이지듀,DW-EGF 비타민C 부스팅 앰플25,이지듀 DW-EGF 비타민C 부스팅 앰플25,,0
라네즈,워터뱅크 블루히알루로닉 세럼,라네즈 워터뱅크 블루히알루로닉 세럼,,0
피지오겔,레드수딩 AI 리페어 에센스,피지오겔 레드수딩 AI 리페어 에센스,,0
메디힐,저분자 히알루론산 밀도 세럼,메디힐 저분자 히알루론산 밀도 세럼,,0
앰플엔,펩타이드샷 2X 모공탄력앰플,앰플엔 펩타이드샷 2X 모공탄력앰플,,0
파넬,아하 오미자 도자기 워시오프 세럼,파넬 아하 오미자 도자기 워시오프 세럼,,0
더말로지카,서큘라 하이드레이션 세럼,더말로지카 서큘라 하이드레이션 세럼,,0
웰라쥬,원데이키트 3종 택1,웰라쥬 원데이키트 3종 택1,,0
나인위시스,하이드라 앰플 나노 플러스,나인위시스 하이드라 앰플 나노 플러스,,0
비욘드,엔젤티트리올 %트러블 앰플,비욘드 엔젤티트리올 %트러블 앰플,,0
디오디너리,히알루로닉 애시드 %,디오디너리 히알루로닉 애시드 %,,0
리쥬란,더마 힐러 트리트먼트 에센스,리쥬란 더마 힐러 트리트먼트 에센스,,0
도미나스,앳클리닉 트라넥삼산 스팟 샷 기미잡티 앰플,도미나스 앳클리닉 트라넥삼산 스팟 샷 기미잡티 앰플,,0
이지듀,스킨부스터 샷 앰플 4종,이지듀 스킨부스터 샷 앰플 4종,,0
마미케어,오쏘타민 비타민C 앰플,마미케어 오쏘타민 비타민C 앰플,,0
연작,전초 컨센트레이트,연작 전초 컨센트레이트,,0
클리어디어,미나리 젤 세럼,클리어디어 미나리 젤 세럼,,0
조선미녀,인삼스네일세럼,조선미녀 인삼스네일세럼,,0
유리아쥬,글로우업 오 에센스,유리아쥬 글로우업 오 에센스,,0
메이크프렘,히알 인테카 속수분 앰플,메이크프렘 히알 인테카 속수분 앰플,,0
아이소이,포어 타이트닝 컨트롤 세럼,아이소이 포어 타이트닝 컨트롤 세럼,,0
조선미녀,쌀겨수맑은세럼,조선미녀 쌀겨수맑은세럼,,0
디오디너리,매트릭실 %,디오디너리 매트릭실 %,,0
유세린,이븐래디언스 듀오 앰플,유세린 이븐래디언스 듀오 앰플,,0
더마팩토리,PDRN % 앰플,더마팩토리 PDRN % 앰플,,0
